_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-9.443380495790331,GO:0042592,homeostatic process,M1,1,GO:0048821 erythrocyte development
1,-7.321822973354807,GO:0032502,developmental process,M1,1,GO:0061515 myeloid cell development
1,-4.316549928697622,GO:0009987,cellular process,M1,1,GO:0042744 hydrogen peroxide catabolic process
1,-3.9124206319627173,GO:0048519,negative regulation of biological process,M1,1,GO:0051693 actin filament capping
1,-3.386622452278459,GO:0050896,response to stimulus,M1,1,GO:0070482 response to oxygen levels
1,-3.1940370974186374,GO:0002376,immune system process,M1,1,GO:0002720 positive regulation of cytokine production involved in immune response
1,-3.09938322589459,GO:0050789,regulation of biological process,M1,1,GO:0030834 regulation of actin filament depolymerization
1,-3.034727701943492,GO:0048518,positive regulation of biological process,M1,1,GO:0001819 positive regulation of cytokine production
1,-2.8876891470208323,GO:0051179,localization,M1,1,GO:0098660 inorganic ion transmembrane transport
1,-2.711992947922524,GO:0040007,growth,M1,1,GO:0060560 developmental growth involved in morphogenesis
1,-2.2945121982967853,GO:0032501,multicellular organismal process,M1,1,GO:0007616 long-term memory
1,-2.2932844441220688,GO:0065007,biological regulation,M1,1,GO:0032409 regulation of transporter activity
