Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0048821,erythrocyte development,19_GO:0042592 homeostatic process,-11,62,20,21160,56,43,7,16,5.6,11733|13828|13829|15122|19743|20533|110257,Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Hba-a2,-7.1
MyList,GO Biological Processes,19,GO:0061515,myeloid cell development,19_GO:0032502 developmental process,-9,36,15,21160,96,43,7,16,5.6,11733|13828|13829|15122|19743|20533|110257,Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Hba-a2,-5.8
MyList,GO Biological Processes,19,GO:0030218,erythrocyte differentiation,19_GO:0042592 homeostatic process,-8,26,13,21160,134,43,7,16,5.6,11733|13828|13829|15122|19743|20533|110257,Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Hba-a2,-5
MyList,GO Biological Processes,19,GO:0034101,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-7.8,23,12,21160,147,43,7,16,5.6,11733|13828|13829|15122|19743|20533|110257,Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Hba-a2,-4.9
MyList,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-7.4,12,9.7,21160,361,43,9,21,6.2,11733|13828|13829|15122|19743|20533|24108|83433|110257,Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Ubd|Trem2|Hba-a2,-4.6
MyList,GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-7,18,11,21160,187,43,7,16,5.6,11733|13828|13829|15122|19743|20533|110257,Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Hba-a2,-4.3
MyList,Reactome Gene Sets,6,R-MMU-2168880,Scavenging of heme from plasma,,-7,89,19,21160,22,43,4,9.3,4.4,245282|328563|626615|101488143,Apol10a|Apol11b|Apol11a|Hbb-bt,-4.2
MyList,GO Biological Processes,19,GO:0042744,hydrogen peroxide catabolic process,19_GO:0009987 cellular process,-6.6,73,17,21160,27,43,4,9.3,4.4,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-3.9
MyList,Reactome Gene Sets,6,R-MMU-1247673,Erythrocytes take up oxygen and release carbon dioxide,,-6.4,1.8e+02,23,21160,8,43,3,7,3.9,19743|20533|101488143,Rhag|Slc4a1|Hbb-bt,-3.7
MyList,GO Biological Processes,19,GO:0032272,negative regulation of protein polymerization,19_GO:0048519 negative regulation of biological process,-6.3,32,12,21160,78,43,5,12,4.9,13829|20617|20739|20741|21916,Dmtn|Snca|Spta1|Sptb|Tmod1,-3.6
MyList,GO Biological Processes,19,GO:0051693,actin filament capping,19_GO:0048519 negative regulation of biological process,-6.2,58,15,21160,34,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-3.6
