Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
21916,3.0,1,1,1
328563,3.0,1,1,1
19743,3.0,1,1,1
626615,3.0,1,1,1
83453,3.0,1,1,1
14183,3.0,1,1,1
13828,3.0,1,1,1
110257,3.0,1,1,1
11733,3.0,1,1,1
20617,3.0,1,1,1
101488143,3.0,1,1,1
544763,3.0,1,1,1
21687,3.0,1,1,1
13829,3.0,1,1,1
216635,3.0,1,1,1
15122,3.0,1,1,1
20533,3.0,1,1,1
83433,3.0,1,1,1
20739,3.0,1,1,1
20741,3.0,1,1,1
71461,3.0,1,1,1
245282,3.0,1,1,1
11484,3.0,1,1,1
14934,3.0,1,1,1
245537,3.0,1,1,1
276891,3.0,1,1,1
50706,2.0,1,0,1
435145,2.0,1,1,0
78593,2.0,1,0,1
140765,2.0,1,0,1
17444,2.0,1,0,1
12291,2.0,1,1,0
12373,2.0,1,0,1
19699,2.0,1,1,0
64297,2.0,1,1,0
271639,2.0,1,1,0
208922,2.0,1,1,0
20528,2.0,1,1,0
574437,2.0,1,1,0
16450,2.0,1,0,1
98733,2.0,1,0,1
14205,2.0,1,0,1
74144,2.0,1,0,1
16878,2.0,1,1,0
751864,2.0,1,0,1
27278,2.0,1,1,0
20679,2.0,1,1,0
12491,2.0,1,1,0
13349,2.0,1,1,0
58185,2.0,1,1,0
240261,2.0,1,0,1
103743,2.0,1,1,0
208943,2.0,1,0,1
58182,2.0,1,1,0
100503605,2.0,1,1,0
74183,2.0,1,0,1
24108,2.0,1,0,1
71738,2.0,1,0,1
214766,2.0,1,1,0
15235,2.0,1,0,1
268935,2.0,1,0,1
93686,2.0,1,1,0
11656,2.0,1,1,0
77574,2.0,1,1,0
21669,1.0,1,0,0
17203,1.0,1,0,0
20475,1.0,1,0,0
21389,1.0,1,0,0
433698,1.0,1,0,0
330406,1.0,1,0,0
226781,1.0,1,0,0
319520,1.0,1,0,0
23925,1.0,1,0,0
56437,1.0,1,0,0
110751,1.0,1,0,0
329727,1.0,1,0,0
21334,1.0,1,0,0
109332,1.0,1,0,0
72565,1.0,1,0,0
237010,1.0,1,0,0
100379146,1.0,1,0,0
232670,1.0,1,0,0
108151,1.0,1,0,0
12044,1.0,1,0,0
12585,1.0,1,0,0
414125,1.0,1,0,0
240054,1.0,1,0,0
213582,1.0,1,0,0
229672,1.0,1,0,0
69376,1.0,1,0,0
228413,1.0,1,0,0
69857,1.0,1,0,0
98736,1.0,1,0,0
100302595,1.0,1,0,0
12416,1.0,1,0,0
333670,1.0,1,0,0
17475,1.0,1,0,0
19824,1.0,1,0,0
63828,1.0,1,0,0
320253,1.0,1,0,0
15898,1.0,1,0,0
115489635,1.0,1,0,0
232035,1.0,1,0,0
208820,1.0,1,0,0
171395,1.0,1,0,0
74161,1.0,1,0,0
230085,1.0,1,0,0
52850,1.0,1,0,0
71489,1.0,1,0,0
631797,1.0,1,0,0
100503085,1.0,1,0,0
74645,1.0,1,0,0
234848,1.0,1,0,0
100313943,1.0,1,0,0
58229,1.0,1,0,0
240843,1.0,1,0,0
70026,1.0,1,0,0
213435,1.0,1,0,0
74090,1.0,1,0,0
27390,1.0,1,0,0
432582,1.0,1,0,0
107723,1.0,1,0,0
433904,1.0,1,0,0
100504714,1.0,1,0,0
18089,1.0,1,0,0
245269,1.0,1,0,0
19716,1.0,1,0,0
71775,1.0,1,0,0
77037,1.0,1,0,0
21886,1.0,1,0,0
77433,1.0,1,0,0
105246501,1.0,1,0,0
100216530,1.0,1,0,0
60596,1.0,1,0,0
17705,1.0,1,0,0
192194,1.0,1,0,0
18218,1.0,1,0,0
229474,1.0,1,0,0
319931,1.0,1,0,0
17240,1.0,1,0,0
71967,1.0,1,0,0
330305,1.0,1,0,0
18368,1.0,1,0,0
76954,1.0,1,0,0
231605,1.0,1,0,0
68875,1.0,1,0,0
100038654,1.0,1,0,0
75732,1.0,1,0,0
110532,1.0,1,0,0
333329,1.0,1,0,0
76157,1.0,1,0,0
71091,1.0,1,0,0
18861,1.0,1,0,0
242805,1.0,1,0,0
77341,1.0,1,0,0
100862072,1.0,1,0,0
241525,1.0,1,0,0
102640440,1.0,1,0,0
232875,1.0,1,0,0
22599,1.0,1,0,0
72236,1.0,1,0,0
72049,1.0,1,0,0
237761,1.0,1,0,0
622675,1.0,1,0,0
621239,1.0,1,0,0
329513,1.0,1,0,0
217342,1.0,1,0,0
245404,1.0,1,0,0
226098,1.0,1,0,0
68632,1.0,1,0,0
102636575,1.0,1,0,0
171167,1.0,1,0,0
231004,1.0,1,0,0
237890,1.0,1,0,0
22640,1.0,1,0,0
75985,1.0,1,0,0
13143,1.0,1,0,0
11636,1.0,1,0,0
16490,1.0,1,0,0
75801,1.0,1,0,0
68279,1.0,1,0,0
69097,1.0,1,0,0
225579,1.0,1,0,0
16175,1.0,1,0,0
239167,1.0,1,0,0
102635290,1.0,1,0,0
194352,1.0,1,0,0
216781,1.0,1,0,0
50500,1.0,1,0,0
