Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-6798695,Neutrophil degranulation,,-15,6.6,12,21160,506,177,28,16,2.7,11501|12182|12489|12796|13058|13586|13587|13861|14134|14191|14289|16819|17002|17105|17394|17395|18733|19074|19204|20201|20202|56318|67689|68891|69189|78892|223646|240047,Adam8|Bst1|Cd33|Camp|Cybb|Ear1|Ear2|Epx|Fcnb|Fgr|Fpr2|Lcn2|Ltf|Lyz2|Mmp8|Mmp9|Pirb|Prg2|Ptafr|S100a8|S100a9|Acp3|Aldh3b1|Cd177|Mcemp1|Crispld2|Naprt|Mmp25,-10,MyList
GO Biological Processes,19,GO:0042742,defense response to bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-11,6.4,9.9,21160,393,177,21,12,2.4,12504|12796|13586|13587|13861|14191|14289|15900|16016|16819|17002|17105|19074|57757|60440|66107|231931|233046|238447|246728|404711,Cd4|Camp|Ear1|Ear2|Epx|Fgr|Fpr2|Irf8|Ighg2b|Lcn2|Ltf|Lyz2|Prg2|Pglyrp2|Iigp1|Wfdc21|Gimap6|Rasgrp4|Igha|Oas2|Ighg2c,-6.8,MyList
Reactome Gene Sets,6,R-MMU-6799990,Metal sequestration by antimicrobial proteins,,-8.3,1.2e+02,22,21160,4,177,4,2.3,1.1,16819|17002|20201|20202,Lcn2|Ltf|S100a8|S100a9,-4.5,MyList
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-7.6,5.7,7.9,21160,338,177,16,9,2.2,11501|12768|12769|12771|13586|13587|14289|15370|16842|17395|19204|20201|20202|20305|108151|245195,Adam8|Ccr1|Ccr9|Ccr3|Ear1|Ear2|Fpr2|Nr4a1|Lef1|Mmp9|Ptafr|S100a8|S100a9|Ccl6|Sema3d|Retnlg,-4,MyList
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-7.5,5.6,7.9,21160,340,177,16,9,2.2,11501|12768|12769|12771|13586|13587|14289|15370|16842|17395|19204|20201|20202|20305|108151|245195,Adam8|Ccr1|Ccr9|Ccr3|Ear1|Ear2|Fpr2|Nr4a1|Lef1|Mmp9|Ptafr|S100a8|S100a9|Ccl6|Sema3d|Retnlg,-4,MyList
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-7.5,4.2,7.3,21160,599,177,21,12,2.4,11501|12655|12768|12771|12796|13058|14013|14289|14728|15370|16182|17084|19204|19419|20201|20202|20305|21825|27226|213435|215257,Adam8|Chil3|Ccr1|Ccr3|Camp|Cybb|Mecom|Fpr2|Lilrb4a|Nr4a1|Il18r1|Ly86|Ptafr|Rasgrp1|S100a8|S100a9|Ccl6|Thbs1|Pla2g7|Mylk3|Il36g,-4,MyList
Reactome Gene Sets,6,R-MMU-6803157,Antimicrobial peptides,,-7.2,12,9.6,21160,89,177,9,5.1,1.7,12504|12796|13587|16819|17002|17105|20201|20202|57757,Cd4|Camp|Ear2|Lcn2|Ltf|Lyz2|S100a8|S100a9|Pglyrp2,-3.8,MyList
GO Biological Processes,19,GO:0040011,locomotion,19_GO:0040011 locomotion,-7,5.1,7.4,21160,373,177,16,9,2.2,11501|12768|12769|12771|13586|13587|14289|15370|16842|17395|19204|20201|20202|20305|108151|245195,Adam8|Ccr1|Ccr9|Ccr3|Ear1|Ear2|Fpr2|Nr4a1|Lef1|Mmp9|Ptafr|S100a8|S100a9|Ccl6|Sema3d|Retnlg,-3.6,MyList
GO Biological Processes,19,GO:0001816,cytokine production,19_GO:0032501 multicellular organismal process,-6.6,6.7,7.7,21160,215,177,12,6.8,1.9,12487|12504|13861|14728|15900|16182|17132|19074|19204|19419|215257|242248,Cd28|Cd4|Epx|Lilrb4a|Irf8|Il18r1|Maf|Prg2|Ptafr|Rasgrp1|Il36g|Bank1,-3.3,MyList
GO Biological Processes,19,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,19_GO:0032501 multicellular organismal process,-5.9,6.5,7.2,21160,203,177,11,6.2,1.8,11501|13058|14728|17002|17394|19204|19419|21825|26888|225884|246728,Adam8|Cybb|Lilrb4a|Ltf|Mmp8|Ptafr|Rasgrp1|Thbs1|Clec4a2|Gstp3|Oas2,-2.7,MyList
GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-5.5,5.9,6.8,21160,223,177,11,6.2,1.8,11501|12768|12769|12771|15370|16842|17395|20201|20202|20305|245195,Adam8|Ccr1|Ccr9|Ccr3|Nr4a1|Lef1|Mmp9|S100a8|S100a9|Ccl6|Retnlg,-2.3,MyList
GO Biological Processes,19,GO:0019221,cytokine-mediated signaling pathway,19_GO:0050896 response to stimulus,-5.5,4.2,6.1,21160,428,177,15,8.5,2.1,12504|12700|12768|12769|12771|16182|18733|20305|23962|60440|213002|215257|216190|246728|246746,Cd4|Cish|Ccr1|Ccr9|Ccr3|Il18r1|Pirb|Ccl6|Oasl2|Iigp1|Ifitm6|Il36g|Appl2|Oas2|Cd300lf,-2.3,MyList
