Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
76905,3.0,1,1,1
16842,3.0,1,1,1
13058,3.0,1,1,1
12768,3.0,1,1,1
20202,3.0,1,1,1
19124,3.0,1,1,1
13861,3.0,1,1,1
12843,3.0,1,1,1
14191,3.0,1,1,1
17395,3.0,1,1,1
15957,3.0,1,1,1
20971,3.0,1,1,1
20201,3.0,1,1,1
21825,3.0,1,1,1
23962,3.0,1,1,1
14871,3.0,1,1,1
13586,3.0,1,1,1
11501,3.0,1,1,1
246728,3.0,1,1,1
12504,3.0,1,1,1
17394,3.0,1,1,1
225884,3.0,1,1,1
12771,3.0,1,1,1
27226,3.0,1,1,1
15370,3.0,1,1,1
72361,3.0,1,1,1
23939,3.0,1,1,1
14289,3.0,1,1,1
68891,3.0,1,1,1
14134,3.0,1,1,1
19074,3.0,1,1,1
14728,3.0,1,1,1
20305,3.0,1,1,1
12487,3.0,1,1,1
12769,3.0,1,1,1
19017,3.0,1,1,1
11687,3.0,1,1,1
17002,3.0,1,1,1
12796,3.0,1,1,1
78892,3.0,1,1,1
16819,3.0,1,1,1
208154,2.0,1,1,0
19204,2.0,1,1,0
432479,2.0,1,0,1
11555,2.0,1,1,0
60440,2.0,1,1,0
26888,2.0,1,1,0
74145,2.0,1,1,0
242248,2.0,1,1,0
11630,2.0,1,0,1
78593,2.0,1,0,1
16182,2.0,1,1,0
11496,2.0,1,0,1
20259,2.0,1,0,1
19419,2.0,1,1,0
240047,2.0,1,1,0
19373,2.0,1,1,0
231805,2.0,1,0,1
17105,2.0,1,1,0
18089,2.0,1,1,0
414084,2.0,1,0,1
22436,2.0,1,1,0
14735,2.0,1,0,1
17910,2.0,1,0,1
246746,2.0,1,1,0
13587,2.0,1,1,0
233899,2.0,1,0,1
208943,2.0,1,0,1
13823,2.0,1,0,1
67689,2.0,1,0,1
620913,2.0,1,1,0
245607,2.0,1,1,0
238447,2.0,1,1,0
15900,2.0,1,1,0
12182,2.0,1,1,0
16016,2.0,1,1,0
83691,2.0,1,1,0
13821,2.0,1,0,1
404711,2.0,1,1,0
20555,2.0,1,1,0
21822,2.0,1,1,0
234797,2.0,1,0,1
243374,2.0,1,1,0
216190,2.0,1,1,0
74104,2.0,1,1,0
545812,2.0,1,0,1
13518,2.0,1,0,1
71738,2.0,1,0,1
17084,2.0,1,1,0
213002,2.0,1,1,0
244183,2.0,1,1,0
11492,2.0,1,0,1
14314,2.0,1,1,0
18733,2.0,1,0,1
57757,2.0,1,1,0
21916,2.0,1,0,1
330409,2.0,1,0,1
59308,2.0,1,1,0
666348,2.0,1,0,1
329513,1.0,1,0,0
17132,1.0,1,0,0
12489,1.0,1,0,0
66775,1.0,1,0,0
380921,1.0,1,0,0
100217451,1.0,1,0,0
780818,1.0,1,0,0
11423,1.0,1,0,0
217082,1.0,1,0,0
73988,1.0,1,0,0
237761,1.0,1,0,0
12655,1.0,1,0,0
16071,1.0,1,0,0
15504,1.0,1,0,0
226101,1.0,1,0,0
240754,1.0,1,0,0
18602,1.0,1,0,0
67775,1.0,1,0,0
223646,1.0,1,0,0
17475,1.0,1,0,0
99382,1.0,1,0,0
235283,1.0,1,0,0
71562,1.0,1,0,0
241230,1.0,1,0,0
100042498,1.0,1,0,0
209837,1.0,1,0,0
20558,1.0,1,0,0
78303,1.0,1,0,0
213435,1.0,1,0,0
74090,1.0,1,0,0
75555,1.0,1,0,0
226781,1.0,1,0,0
11656,1.0,1,0,0
215257,1.0,1,0,0
12700,1.0,1,0,0
231510,1.0,1,0,0
68337,1.0,1,0,0
328967,1.0,1,0,0
641660,1.0,1,0,0
108151,1.0,1,0,0
245195,1.0,1,0,0
18574,1.0,1,0,0
75732,1.0,1,0,0
328830,1.0,1,0,0
432628,1.0,1,0,0
231931,1.0,1,0,0
217593,1.0,1,0,0
320078,1.0,1,0,0
56318,1.0,1,0,0
233046,1.0,1,0,0
18770,1.0,1,0,0
83813,1.0,1,0,0
70127,1.0,1,0,0
330305,1.0,1,0,0
72297,1.0,1,0,0
241062,1.0,1,0,0
13206,1.0,1,0,0
338372,1.0,1,0,0
27405,1.0,1,0,0
212980,1.0,1,0,0
20200,1.0,1,0,0
66940,1.0,1,0,0
12395,1.0,1,0,0
327978,1.0,1,0,0
18054,1.0,1,0,0
19743,1.0,1,0,0
54393,1.0,1,0,0
320148,1.0,1,0,0
115490493,1.0,1,0,0
382062,1.0,1,0,0
112418,1.0,1,0,0
68859,1.0,1,0,0
69189,1.0,1,0,0
20620,1.0,1,0,0
93686,1.0,1,0,0
433470,1.0,1,0,0
17086,1.0,1,0,0
107526,1.0,1,0,0
14013,1.0,1,0,0
78826,1.0,1,0,0
208117,1.0,1,0,0
628127,1.0,1,0,0
328780,1.0,1,0,0
17967,1.0,1,0,0
66107,1.0,1,0,0
20893,1.0,1,0,0
83557,1.0,1,0,0
235631,1.0,1,0,0
380924,1.0,1,0,0
