"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_id"
"ENSMUSG00000000078.6",5296.54708099482,-1.30747811775471,0.360642429171103,-3.62541401675839,0.000288498877302527,0.0093283417206039,"Klf6","ENSMUSG00000000078"
"ENSMUSG00000000157.11",928.47550367416,-2.60827929931039,0.804439242909667,-3.24235711062058,0.00118545377020487,0.0261603742567576,"Itgb2l","ENSMUSG00000000157"
"ENSMUSG00000000204.11",1000.85116138596,-3.22912964263846,0.644384195007847,-5.01118690938585,5.40953402808164e-07,5.34705309829598e-05,"Slfn4","ENSMUSG00000000204"
"ENSMUSG00000000290.9",1825.18450117494,-1.69874656836231,0.287545086527541,-5.90775724557409,3.46796537154919e-09,7.50304508032819e-07,"Itgb2","ENSMUSG00000000290"
"ENSMUSG00000000392.13",110.52115043527,-5.48181209664163,1.33992309008911,-4.09113936254137,4.29259068978092e-05,0.00201122911554321,"Fap","ENSMUSG00000000392"
"ENSMUSG00000000486.9",1993.39766082295,-1.34763905201614,0.334401519129296,-4.03000278086379,5.57761930227726e-05,0.00249357020931705,"Septin1","ENSMUSG00000000486"
"ENSMUSG00000000568.11",2690.13039180871,1.08909036261361,0.341703236705577,3.18724040519408,0.00143637332129808,0.030274963184724,"Hnrnpd","ENSMUSG00000000568"
"ENSMUSG00000000915.11",832.449725562312,-1.4876839433682,0.416555061614216,-3.57139807064929,0.000355080736833452,0.010815626915722,"Hip1r","ENSMUSG00000000915"
"ENSMUSG00000001025.4",540.373160188977,-2.84533161398837,0.760054588757822,-3.74358849492452,0.000181410668707204,0.00639267153161538,"S100a6","ENSMUSG00000001025"
"ENSMUSG00000001034.13",224.591484426042,2.26497159318722,0.510717606056271,4.43488058043893,9.21233408520756e-06,0.000567078908207421,"Mapk7","ENSMUSG00000001034"
"ENSMUSG00000001128.7",316.563662346453,-1.64610314641115,0.51309080598658,-3.2082101787928,0.0013356385059271,0.0286024944675392,"Cfp","ENSMUSG00000001128"
"ENSMUSG00000001156.7",18755.2155360679,-1.22240289526233,0.198733169013012,-6.1509757094564,7.70077139000094e-10,2.0231026551731e-07,"Mxd1","ENSMUSG00000001156"
"ENSMUSG00000001583.9",260.862123035876,-7.806874105562,1.55280075022997,-5.02760840655556,4.96634739090112e-07,5.00444539828338e-05,"Tnk1","ENSMUSG00000001583"
"ENSMUSG00000001663.6",127.788402846431,-2.60203438392,0.727812165534747,-3.57514549376652,0.00035003318352455,0.0107959920251849,"Gstt1","ENSMUSG00000001663"
