"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_id"
"ENSMUSG00000000157.11",928.47550367416,-2.60827929931039,0.804439242909667,-3.24235711062058,0.00118545377020487,0.0261603742567576,"Itgb2l","ENSMUSG00000000157"
"ENSMUSG00000000204.11",1000.85116138596,-3.22912964263846,0.644384195007847,-5.01118690938585,5.40953402808164e-07,5.34705309829598e-05,"Slfn4","ENSMUSG00000000204"
"ENSMUSG00000000392.13",110.52115043527,-5.48181209664163,1.33992309008911,-4.09113936254137,4.29259068978092e-05,0.00201122911554321,"Fap","ENSMUSG00000000392"
"ENSMUSG00000001025.4",540.373160188977,-2.84533161398837,0.760054588757822,-3.74358849492452,0.000181410668707204,0.00639267153161538,"S100a6","ENSMUSG00000001025"
"ENSMUSG00000001034.13",224.591484426042,2.26497159318722,0.510717606056271,4.43488058043893,9.21233408520756e-06,0.000567078908207421,"Mapk7","ENSMUSG00000001034"
"ENSMUSG00000001583.9",260.862123035876,-7.806874105562,1.55280075022997,-5.02760840655556,4.96634739090112e-07,5.00444539828338e-05,"Tnk1","ENSMUSG00000001583"
"ENSMUSG00000001663.6",127.788402846431,-2.60203438392,0.727812165534747,-3.57514549376652,0.00035003318352455,0.0107959920251849,"Gstt1","ENSMUSG00000001663"
"ENSMUSG00000001865.2",977.003329479034,2.14788248766558,0.440642190722601,4.87443674910772,1.09119339148822e-06,9.7888031558382e-05,"Cpa3","ENSMUSG00000001865"
"ENSMUSG00000002565.12",159.26366767795,2.41565237607669,0.631349906946703,3.82617047931332,0.000130152171650753,0.00489718350211222,"Scin","ENSMUSG00000002565"
"ENSMUSG00000002900.11",40.3731657440728,8.70051745019124,2.65384329217117,3.27845938599983,0.00104375382650371,0.0241799955744472,"Lamb1","ENSMUSG00000002900"
"ENSMUSG00000003282.5",298.565284383937,-2.56329331920051,0.796115598326231,-3.219750152603,0.0012830236541708,0.0278404778763434,"Plag1","ENSMUSG00000003282"
"ENSMUSG00000003418.11",346.868695804129,3.12741322860406,0.520069753364819,6.01344955819847,1.8161646071468e-09,4.11067903082212e-07,"St8sia6","ENSMUSG00000003418"
"ENSMUSG00000003420.7",298.244901387162,-2.03146160164815,0.460308438128777,-4.41326170318829,1.01824785520431e-05,0.000616479936039748,"Fcgrt","ENSMUSG00000003420"
"ENSMUSG00000003949.12",1033.48529114447,-3.25928183510992,0.771626664032052,-4.22391032741001,2.40099614438354e-05,0.00122226488844881,"Hlf","ENSMUSG00000003949"
"ENSMUSG00000004609.7",338.010234070583,-2.3996497521965,0.515369431317461,-4.65617401106266,3.22139693510542e-06,0.000240574577204421,"Cd33","ENSMUSG00000004609"
"ENSMUSG00000004655.5",27522.7710001398,2.04718362341674,0.584324680145443,3.50350360506283,0.000459180440052081,0.0128675478743737,"Aqp1","ENSMUSG00000004655"
"ENSMUSG00000004864.8",74.3525361559289,-4.62583090960777,1.5082043381832,-3.06711152626712,0.00216138198748528,0.0410300023224302,"Mapk13","ENSMUSG00000004864"
"ENSMUSG00000005338.9",199.040676497218,-4.75475786999544,1.47405495748569,-3.22563134152453,0.00125695148145091,0.0274245488323685,"Cadm3","ENSMUSG00000005338"
"ENSMUSG00000005800.2",2395.91137464149,-3.99183825032827,0.331384981955301,-12.0459238278539,2.03780498741528e-33,2.99801869748535e-29,"Mmp8","ENSMUSG00000005800"
