"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000000028.10",1730.56494359612,0.683981703780633,0.252223111302271,0.00502679076607235,0.0168383756262424,"Cdc45","ENSMUSG00000000028"
"ENSMUSG00000000056.7",10817.7733613235,4.84729890476018,0.284160094210962,1.8477185809941e-66,1.30690556555698e-64,"Narf","ENSMUSG00000000056"
"ENSMUSG00000000078.6",5296.54708099482,-1.61129283201817,0.362145859322833,2.46204669037629e-06,1.75833159751534e-05,"Klf6","ENSMUSG00000000078"
"ENSMUSG00000000134.13",645.345552520229,1.62249520584469,0.522802109296029,0.000486309885785648,0.00217530892054681,"Tfe3","ENSMUSG00000000134"
"ENSMUSG00000000157.11",928.47550367416,2.0740326967087,0.836660871442744,0.00190840316222665,0.00730016311042081,"Itgb2l","ENSMUSG00000000157"
"ENSMUSG00000000184.9",2380.82699985297,-2.0980756210235,0.335796687906628,6.55659838205443e-11,7.93262133197243e-10,"Ccnd2","ENSMUSG00000000184"
"ENSMUSG00000000194.9",772.375013624878,1.19051341075786,0.35847319583247,0.000397371175713681,0.00181782485606333,"Gpr107","ENSMUSG00000000194"
"ENSMUSG00000000204.11",1000.85116138596,1.42746521224098,0.641724931900302,0.00773136775054932,0.0242575991354407,"Slfn4","ENSMUSG00000000204"
"ENSMUSG00000000223.9",146.181710064968,3.28056340690442,1.77828479266021,0.00230055350825109,0.00857722838656613,"Drp2","ENSMUSG00000000223"
"ENSMUSG00000000275.12",2259.16071913332,0.794030372868372,0.290003706832474,0.00420517857953571,0.0144988486670095,"Trim25","ENSMUSG00000000275"
"ENSMUSG00000000290.9",1825.18450117494,1.54135914607749,0.286891370362687,2.53132674235343e-08,2.387235835481e-07,"Itgb2","ENSMUSG00000000290"
"ENSMUSG00000000339.10",406.048220975802,-0.831387895709983,0.337887802178799,0.00885018592714833,0.0272964225073808,"Rtca","ENSMUSG00000000339"
"ENSMUSG00000000374.7",3706.79610772695,2.31120197011671,0.23998636832097,1.11621342988937e-22,2.53031309407279e-21,"Trappc10","ENSMUSG00000000374"
"ENSMUSG00000000420.11",13279.2312692085,2.02862934431789,0.243460949066614,1.68563845658813e-17,3.13120113299552e-16,"Galnt1","ENSMUSG00000000420"
"ENSMUSG00000000486.9",1993.39766082295,1.6855105631728,0.335163031052666,1.36324241485075e-07,1.16401755120628e-06,"Septin1","ENSMUSG00000000486"
"ENSMUSG00000000532.10",522.039220065919,-1.36268723735362,0.362597798289361,6.11773848074792e-05,0.000334339407610563,"Acvr1b","ENSMUSG00000000532"
"ENSMUSG00000000568.11",2690.13039180871,1.03126057850116,0.339861144522523,0.00124809357322418,0.00503343000254225,"Hnrnpd","ENSMUSG00000000568"
"ENSMUSG00000000594.7",2360.94343049438,-0.636337837388977,0.276312044450809,0.0163754429949636,0.0458101383042221,"Gm2a","ENSMUSG00000000594"
"ENSMUSG00000000631.15",2536.56567017035,-0.956709248217018,0.425371019212291,0.0131868009827031,0.0382802320555501,"Myo18a","ENSMUSG00000000631"
"ENSMUSG00000000706.11",215.385044078046,7.7673676086826,1.10931685939532,4.68239307602124e-13,6.64935974270507e-12,"Btn1a1","ENSMUSG00000000706"
"ENSMUSG00000000711.2",2487.80049015363,1.84987312253169,0.331988458801295,6.04552640939394e-09,6.1212515165178e-08,"Rab5b","ENSMUSG00000000711"
"ENSMUSG00000000740.7",15417.2933772733,-1.24250526042088,0.245337063606761,1.49619814391126e-07,1.27384647530222e-06,"Rpl13","ENSMUSG00000000740"
