"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000001763.10",17541.391665179,8.00180656758093,0.247458223001915,9.14119354826307e-230,6.40405902295459e-227,"Tspan33","ENSMUSG00000001763"
"ENSMUSG00000002799.5",59.8429071628247,-8.26644099503548,3.06004671723296,4.41390199962674e-06,3.01333300317906e-05,"Jag2","ENSMUSG00000002799"
"ENSMUSG00000002944.11",36030.9423330387,11.5882931014271,0.617524607429308,6.48121725745709e-80,5.95947926823179e-78,"Cd36","ENSMUSG00000002944"
"ENSMUSG00000004031.9",174.714766432826,12.7714014030666,3.06651252708234,7.50365969871399e-14,1.11284114402702e-12,"Brinp2","ENSMUSG00000004031"
"ENSMUSG00000006386.11",225.625168205172,-9.32810077427948,3.33424239512628,2.92895020439203e-06,2.06297150848088e-05,"Tek","ENSMUSG00000006386"
"ENSMUSG00000006574.11",164721.011409798,11.5215725162858,0.588332516825581,3.18106186324149e-86,3.4160424913875e-84,"Slc4a1","ENSMUSG00000006574"
"ENSMUSG00000007379.11",6744.72738802469,8.38251501986692,0.215087299294549,0,0,"Dennd2c","ENSMUSG00000007379"
"ENSMUSG00000007480.3",126.95768876759,-9.05431112617924,3.03610103892737,2.33371436370068e-07,1.9463495305422e-06,"Mc5r","ENSMUSG00000007480"
"ENSMUSG00000008734.8",125.004859477336,-9.74705528654673,3.14058194838149,5.81234751524988e-08,5.22046743860539e-07,"Gprc5b","ENSMUSG00000008734"
"ENSMUSG00000011008.9",188.861776585076,-10.1319021055823,3.09200569815044,2.98885810159273e-09,3.09880763852236e-08,"Mcoln2","ENSMUSG00000011008"
"ENSMUSG00000014164.10",63.3706724826151,-8.19619276750219,3.06755026267186,5.81243060327089e-06,3.89578492188252e-05,"Klhl3","ENSMUSG00000014164"
"ENSMUSG00000017195.11",48.8018657077866,8.71811200050747,3.28614603736953,2.72639389703483e-05,0.000161151896396852,"Zpbp2","ENSMUSG00000017195"
"ENSMUSG00000018566.10",3870.18710497715,15.2842407972181,3.52862170137152,1.4215315456676e-10,1.67041310701771e-09,"Slc2a4","ENSMUSG00000018566"
"ENSMUSG00000020262.11",90.2141625930024,-8.54256786677236,3.42465424713961,2.95855534085804e-05,0.000173549705640764,"Adarb1","ENSMUSG00000020262"
"ENSMUSG00000020295.1",73.0059647045913,10.9649464225691,3.5412415040033,1.40753800196657e-06,1.04758877039009e-05,"Hbq1a","ENSMUSG00000020295"
"ENSMUSG00000020490.12",29693.3026812627,9.2791800699607,0.706336380648788,1.38814683262227e-40,5.43149367062202e-39,"Btnl10","ENSMUSG00000020490"
"ENSMUSG00000020641.11",58456.8387017773,8.93844182681852,0.378798636134251,2.36908255673481e-124,5.05129602531631e-122,"Rsad2","ENSMUSG00000020641"
"ENSMUSG00000020774.5",51.8495610916592,-8.51313808700653,3.2107415315788,8.19890313502728e-06,5.33963093946531e-05,"Aspa","ENSMUSG00000020774"
"ENSMUSG00000020802.8",31338.9427222121,8.23179538461562,0.19873281244405,0,0,"Ube2o","ENSMUSG00000020802"
"ENSMUSG00000020866.13",6248.09812011789,16.7952477866452,4.13172954343657,3.27925791203918e-09,3.38557490539793e-08,"Cacna1g","ENSMUSG00000020866"
"ENSMUSG00000020990.4",1222.40910290444,11.9776619523009,1.06235095710265,7.80002637868786e-31,2.30429694946297e-29,"Cdkl1","ENSMUSG00000020990"
"ENSMUSG00000021061.11",133836.486275052,9.23786410362967,0.683103929636116,3.9522012375738e-43,1.62415599461413e-41,"Sptb","ENSMUSG00000021061"
